StudentId,TestId,answer1,points1,answer2,points2,answer3,points3,answer4,points4
124563,AGBO13,-3,25,24,25,0,25,12,25
124563,AGBO13,-3,25,24,25,0,25,12,25
56/32 |,AGBO13,-3,25,12,0,[],0,IZ,0
25678 9,AGBO13,- 5,0,12,0,[],0,12_,0
25678 9,AGBO13,- 5,0,12,0,[],0,12_,0
56/32 |,AGBO13,-3,25,12,0,[],0,IZ,0
Ak8312,AGBO13,3,0,24,25,"[([[84, 68], [164, 68], [164, 124], [84, 124]], '10', 0.5017046339014251)]",0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,-3,0,24,25,0,0,12,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,512,0
Ak8312,AGBO13,3,0,24,25,10,0,-12,0
Ak8312,AGBO13,3,0,24,25,10,0,12,0
Ak8312,AGBO13,3,0,24,25,10,0,12,25
Ak8372,AGBO13,3,0,24,25,10,0,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
Ak8372,AGBO13,3,0,24,25,0,25,12,25
12311,MAT004,False,20,True,20,True,20,True,0
12311,MAT004,False,20,True,20,True,20,True,0
123|,MATO04,False,20,True,20,True,20,True,0
123|,MATO04,False,20,True,20,True,20,True,0,False,0
123|,MATO04,False,20,True,20,True,20,True,0,False,0
123|,MATO04,False,20,True,20,True,20,True,0,False,0
123|,MATO04,False,20,True,20,True,20,True,0,False,0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
123|,MATO04,False,20,True,20,True,20,True,0,True,20.0
